id;importance;performance;note;questionnaire_id;question_id
1;3;5;note test;1;1
2;4;6;note 1;2;1
3;3;1;note 2;2;2
4;4;9;;2;3
5;3;2;;2;4
6;6;0;;2;5
7;5;7;;2;6
8;5;8;;2;7
9;5;9;;2;8
10;8;0;;2;9
11;9;5;;2;10
12;2;8;;2;11
13;1;8;;2;12
14;2;5;;2;13
15;5;8;;2;14
16;9;2;;2;15
17;8;1;;2;16
18;8;6;;2;17
19;6;9;;2;18
20;4;2;;2;19
21;9;2;;2;20
22;3;1;;2;21
23;7;0;;2;22
24;4;9;;2;23
25;5;6;;2;24
26;6;0;;2;25
27;7;3;;2;26
28;6;5;;2;27
29;5;2;;2;28
30;4;9;;2;29
31;9;7;;2;30
32;3;9;;2;31
33;1;9;;2;32
34;7;8;;2;33
35;7;1;;2;34
36;1;5;;2;35
37;2;9;;2;36
38;7;0;;2;37
39;6;1;;2;38
40;0;4;;2;39
41;9;8;;2;40
42;9;1;;2;41
43;8;4;;2;42
44;8;8;;2;43
45;8;5;;2;44
46;9;9;;2;45
47;3;5;;2;46
48;2;5;;2;47
49;7;4;;2;48
50;9;3;;2;49
51;8;6;;2;50
52;0;2;;2;51
53;7;3;;2;52
54;1;5;;2;53
55;7;5;;2;54
56;4;6;;2;55
57;0;9;;2;56
58;7;9;;2;57
59;7;8;;2;58
60;8;2;;2;59
61;5;5;;2;60
62;3;5;;2;61
63;5;4;;2;62
64;0;0;;2;63
65;2;4;;2;64
66;1;9;;2;65
67;8;2;;2;66
68;0;2;;2;67
69;8;0;;2;68
70;1;4;;2;69
71;0;2;;2;70
72;2;1;;2;71
73;8;1;;2;72
74;6;2;;2;73
75;6;0;;2;74
76;1;7;;2;75
77;9;6;;2;76
78;7;0;;2;77
79;3;8;;2;78
80;4;2;;2;79
81;6;6;;2;80
82;5;5;;2;81
83;8;2;;2;82
84;3;0;;2;83
85;8;9;;2;84
86;7;3;;2;85
87;5;6;;2;86
88;9;2;;2;87
89;3;9;;2;88
90;8;8;;2;89
91;7;2;;2;90
92;6;2;;2;91
93;5;8;;2;92
94;5;1;;2;93
95;9;3;;2;94
96;9;7;;2;95
97;9;7;;2;96
98;5;1;;2;97
99;4;1;;2;98
100;9;0;;2;99
101;6;4;;2;100
102;7;1;;2;101
103;0;3;;2;102
104;2;4;;2;103
105;8;5;;2;104
106;0;7;;2;105
107;3;7;;2;106
108;5;5;;2;107
109;1;5;;2;108
110;1;2;;2;109
111;0;0;;2;110
112;8;1;;2;111
113;0;9;;2;112
114;4;7;;2;113
115;5;8;;2;114
116;0;9;;2;115
117;5;3;;2;116
118;7;9;;2;117
119;2;4;;2;118
120;4;6;;2;119
121;3;0;;2;120
122;7;7;;2;121
123;4;9;;2;122
124;9;1;;2;123
125;0;1;;2;124
126;8;6;;2;125
127;8;4;;2;126
128;9;9;;2;127
129;3;4;;2;128
130;0;6;;2;129
131;1;4;;2;130
132;7;0;;2;131
133;5;3;;2;132
134;2;4;;2;133
135;1;2;;2;134
136;0;9;;2;135
137;4;4;;2;136
138;2;2;;2;137
139;9;6;;2;138
140;4;4;;2;139
141;7;8;;2;140
142;1;4;;2;141
143;4;0;;2;142
144;1;1;;2;143
145;5;4;;2;144
146;3;5;;2;145
147;9;3;;2;146
148;3;6;;2;147
149;7;5;;2;148
150;7;7;;2;149
151;6;7;;2;150
152;3;3;;2;151
153;7;2;;2;152
154;9;4;;2;153
155;1;2;;2;154
156;0;8;;2;155
157;0;3;;2;156
158;2;9;;2;157
159;5;8;;2;158
160;6;1;;2;159
161;0;2;;2;160
162;9;6;;2;161
163;0;9;;2;162
164;6;8;;2;163
165;2;4;;2;164
166;4;0;;2;165
167;5;7;;2;166
168;8;5;;2;167
169;4;2;;2;168
170;3;8;;2;169
171;4;6;;2;170
172;8;5;;2;171
173;5;4;;2;172
174;0;5;;2;173
175;3;3;;2;174
176;3;5;;2;175
177;5;4;;2;176
178;4;2;;2;177
179;4;9;;2;178
180;5;6;;2;179
181;8;2;;2;180
182;0;0;;2;181
183;8;2;;2;182
184;5;9;;2;183
185;8;5;;2;184
186;4;4;;2;185
187;8;9;;2;186
188;5;9;;2;187
189;2;5;;2;188
190;5;2;;2;189
191;9;7;;2;190
192;7;4;;2;191
193;9;0;;2;192
194;0;6;;2;193
195;4;2;;2;194
196;7;0;;2;195